Country,Year,GDP_Current_USD,Internet_Users_Pct,Urban_Pop_Pct,Education_Expenditure_Pct_GDP,Ease_Doing_Business_Index,CPIA_Public_Sector_Management,Startup_Procedures_Number,Unemployment_Rate_Pct,School_Enrollment_Tertiary_Pct,Literacy_Rate_Pct,Life_Expectancy_Years,Maternal_Mortality_Ratio,Access_Basic_Water_Pct,Renewable_Energy_Pct,Agricultural_Land_Pct,Immunization_Measles_Pct,Region,Income_Level,GDP_Category,Life_Expectancy_Category,Unemployment_Category,CO2_Emissions_Category,Inequality_Category,Access_Electricity_Category,Dominant_Sector,Maternal_Mortality_Category
Argentina,2010,4.24E+11,45,90.849,5.019710064,NA,NA,14,7.714,74.18753052,NA,75.721,55,98.4340479,8.8,46.13891234,95,Latin America & Caribbean,Upper middle income,Middle Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2011,5.30E+11,51,90.99,5.290629864,NA,NA,14,7.18,77.42961121,NA,76.124,50,98.62186278,8.8,45.79196036,NA,Latin America & Caribbean,Upper middle income,High Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2012,5.46E+11,55.8,91.121,5.345829964,NA,NA,14,7.217,78.45590973,NA,76.467,45,98.80529366,8.6,45.58130442,94,Latin America & Caribbean,Upper middle income,High Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2013,5.52E+11,59.9,91.249,5.436610222,NA,NA,14,7.1,78.7686615,NA,76.491,43,98.86419896,8.9,44.92193124,94,Latin America & Caribbean,Upper middle income,High Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2014,5.26E+11,64.7,91.377,5.361440182,NA,NA,14,7.268,81.16941071,NA,76.755,42,98.92324799,9.8,44.28302073,95,Latin America & Caribbean,Upper middle income,High Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2015,5.95E+11,68.0431,91.503,5.776110172,NA,NA,14,7.58,83.76258087,NA,76.76,39,98.98230819,9.4,44.11877122,89,Latin America & Caribbean,Upper middle income,High Income,High,Medium Unemployment,Medium Emissions,NA,High Access,Services,Low
Argentina,2016,5.58E+11,70.969,91.627,5.545489788,NA,NA,14,8.083,86.61788177,NA,76.308,40,99.04137378,9.4,43.4794953,90,Latin America & Caribbean,Upper middle income,High Income,High,High Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2017,6.44E+11,74.2949,91.749,5.454319954,115,NA,14,8.347,89.23294067,NA,76.833,38,NA,10.4,42.98638136,89,Latin America & Caribbean,Upper middle income,High Income,High,High Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2018,5.25E+11,77.7,91.87,4.877739906,116,NA,11,9.221,90.97283173,94.86223892,76.999,34,NA,10.5,42.37153631,94,Latin America & Caribbean,Upper middle income,Middle Income,High,High Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2019,4.48E+11,79.947,91.991,4.777599812,117,NA,12,9.843,95.0775528,NA,77.284,33,NA,10.7,42.59077926,86,Latin America & Caribbean,Upper middle income,Middle Income,High,High Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Argentina,2020,3.86E+11,85.5144,92.111,5.279640198,118,NA,NA,11.461,99.26622772,NA,75.892,45,NA,9.8,43.02926517,77,Latin America & Caribbean,Upper middle income,Middle Income,High,High Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Australia,2010,1.15E+12,76,85.182,5.538119793,119,NA,3,5.214,NA,NA,81.69512195,5,99.88314449,8.2,NA,94,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Australia,2011,1.40E+12,79.4877,85.3,5.06814003,120,NA,3,5.083,NA,NA,81.89512195,6,99.89196182,8.3,51.56281322,94,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,NA,High Access,Services,Low
Australia,2012,1.55E+12,79,85.402,4.866670132,121,NA,3,5.225,NA,NA,82.04634146,6,99.90076959,8.3,50.38543145,NA,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,NA,High Access,Services,Low
Australia,2013,1.58E+12,83.4535,85.502,5.229090214,NA,NA,3,5.663,NA,93.73761496,82.14878049,6,99.90958939,9.2,NA,94,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,NA,High Access,Services,Low
Australia,2014,1.47E+12,84,85.602,5.164549828,118,NA,3,6.078,NA,NA,82.3,5,99.96147641,9.3,48.73839866,94,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Australia,2015,1.35E+12,84.5605,85.701,5.31551981,119,NA,3,6.055,119.67939,NA,82.4,5,99.9700009,9.4,45.31442407,95,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,NA,High Access,Services,Low
Australia,2016,1.21E+12,86.54,85.8,5.28689003,118,NA,3,5.711,119.6827774,NA,82.44878049,5,99.96996668,9.6,44.53992579,95,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Australia,2017,1.33E+12,86.545,85.904,5.138229847,119,NA,3,5.592,109.993309,NA,82.5,5,99.96993751,9.9,48.34061794,94,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,NA,High Access,Services,Low
Australia,2018,1.43E+12,90,86.012,5.124310017,NA,NA,3,5.3,103.3220901,NA,82.74878049,4,99.96989377,9.8,46.65809501,94,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,Medium Inequality,High Access,Services,Low
Australia,2019,1.39E+12,93.6099,86.124,5.134290218,NA,NA,3,5.159,109.7595596,NA,82.9,5,99.96985437,10.3,47.12377243,94,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,NA,High Access,Services,Low
Australia,2020,1.33E+12,94.6935,86.241,5.608449936,NA,NA,NA,6.456,110.1392212,NA,83.2,3,99.96981765,11.2,NA,93,East Asia & Pacific,High income,High Income,High,Medium Unemployment,Medium Emissions,NA,High Access,Services,Low
Brazil,2010,2.21E+12,40.65,84.335,5.648799896,NA,NA,NA,8.424,NA,90.37918091,73.182,64,96.51879999,46.8,27.73753491,99,Latin America & Caribbean,Upper middle income,Middle Income,Medium,High Unemployment,Medium Emissions,NA,High Access,Services,Low
Brazil,2011,2.62E+12,45.69,84.631,5.737410069,NA,NA,NA,7.578,NA,91.41123962,73.343,62,96.787975,45.2,27.82377419,99,Latin America & Caribbean,Upper middle income,High Income,Medium,Medium Unemployment,Medium Emissions,High Inequality,High Access,Services,Low
Brazil,2012,2.47E+12,48.56,84.923,5.855100155,NA,NA,NA,7.251,43.23085022,91.33785248,73.552,57,97.05097804,43.5,27.91001347,99,Latin America & Caribbean,Upper middle income,High Income,Medium,Medium Unemployment,Medium Emissions,High Inequality,High Access,Services,Low
Brazil,2013,2.47E+12,51.04,85.209,5.838850021,118,NA,11,7.071,44.33937073,NA,73.918,61,97.30767188,42.3,27.99625275,98,Latin America & Caribbean,Upper middle income,High Income,Medium,Medium Unemployment,Medium Emissions,High Inequality,High Access,Services,Low
Brazil,2014,2.46E+12,54.551,85.492,5.948480129,119,NA,11,6.755,47.1568718,NA,74.306,62,97.55858119,41.7,28.08249204,NA,Latin America & Caribbean,Upper middle income,High Income,Medium,Medium Unemployment,High Emissions,High Inequality,High Access,Services,Low
Brazil,2015,1.80E+12,58.328,85.77,6.24105978,NA,NA,11,8.538,48.43404007,NA,74.332,62,97.80356479,43.7,28.16873132,96,Latin America & Caribbean,Upper middle income,Middle Income,Medium,High Unemployment,Medium Emissions,High Inequality,High Access,Services,Low
Brazil,2016,1.80E+12,60.8725,86.042,6.314040184,NA,NA,11,11.58,48.33333969,NA,74.442,63,97.95583973,45.4,28.2549706,NA,Latin America & Caribbean,Upper middle income,Middle Income,Medium,High Unemployment,Medium Emissions,High Inequality,High Access,Services,Low
Brazil,2017,2.06E+12,67.4713,86.309,6.32047987,NA,NA,11,12.792,50.02674866,NA,74.827,60,98.45095603,45.3,28.34106631,87,Latin America & Caribbean,Upper middle income,Middle Income,Medium,High Unemployment,Medium Emissions,High Inequality,High Access,Services,Low
Brazil,2018,1.92E+12,70.4343,86.569,6.088510036,NA,NA,11,12.33,51.19168854,93.37870534,75.109,59,98.6794937,46.9,28.41562848,92,Latin America & Caribbean,Upper middle income,Middle Income,High,High Unemployment,Medium Emissions,High Inequality,High Access,Services,Low
Brazil,2019,1.87E+12,73.9124,86.824,5.963469982,124,NA,11,11.936,52.62406158,93.74958874,75.338,61,98.93554395,47.5,28.4901295,91,Latin America & Caribbean,Upper middle income,Middle Income,High,High Unemployment,Medium Emissions,High Inequality,High Access,Services,Low
